congress,latestAction_actionDate,latestAction_actionTime,latestAction_text,number,originChamber,originChamberCode,title,type,updateDate,updateDateIncludingText,url
118,2024-05-09,,Placed on Senate Legislative Calendar under General Orders. Calendar No. 384.,2150,Senate,S,Unity through Service Act of 2023,S,2024-05-10,2024-05-10T16:37:46Z,https://api.congress.gov/v3/bill/118/s/2150?format=json
118,2024-05-09,,Read twice and referred to the Committee on Armed Services.,4309,Senate,S,A bill to require the Secretary of Defense to conduct an evaluation of relocation assistance programs available to members of the Armed Forces.,S,2024-05-10,2024-05-10T10:56:32Z,https://api.congress.gov/v3/bill/118/s/4309?format=json
118,2024-05-09,,Read twice and referred to the Committee on the Judiciary.,4308,Senate,S,"A bill to reform the antitrust laws to better protect competition in the American economy, to amend the Clayton Act to modify the standard for an unlawful acquisition, to deter anticompetitive exclusionary conduct that harms competition and consumers, to enhance the ability of the Department of Justice and the Federal Trade Commission to enforce the antitrust laws, and for other purposes.",S,2024-05-10,2024-05-10T10:56:33Z,https://api.congress.gov/v3/bill/118/s/4308?format=json
118,2024-05-09,,Read twice and referred to the Committee on Environment and Public Works.,4307,Senate,S,"A bill to amend the Clean Air Act, the Federal Water Pollution Control Act, and the Endangered Species Act of 1973 to modify requirements for citizen suits under those Acts, and for other purposes.",S,2024-05-10,2024-05-10T10:56:33Z,https://api.congress.gov/v3/bill/118/s/4307?format=json
118,2024-05-09,,Read twice and referred to the Committee on the Judiciary. (text: CR S3656),4301,Senate,S,"A bill to grant States and Indian Tribes the authority to waive the 2-year foreign residence requirement for educators in rural and Tribal areas, and for other purposes.",S,2024-05-10,2024-05-10T13:10:39Z,https://api.congress.gov/v3/bill/118/s/4301?format=json
118,2024-05-09,,Read twice and referred to the Committee on Foreign Relations.,4306,Senate,S,"A bill to direct the Secretary of Defense to establish a working group to develop and coordinate an artificial intelligence initiative among the Five Eyes countries, and for other purposes.",S,2024-05-10,2024-05-10T10:56:33Z,https://api.congress.gov/v3/bill/118/s/4306?format=json
118,2024-05-09,,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,4305,Senate,S,"A bill to improve the effectiveness of body armor issued to female agents and officers of the Department of Homeland Security, and for other purposes.",S,2024-05-10,2024-05-10T10:56:33Z,https://api.congress.gov/v3/bill/118/s/4305?format=json
118,2024-05-09,,Read twice and referred to the Committee on Finance.,4304,Senate,S,"A bill to amend title XIX of the Social Security Act to provide coverage under the Medicaid program for services provided by doulas and midwives, and for other purposes.",S,2024-05-10,2024-05-10T10:56:34Z,https://api.congress.gov/v3/bill/118/s/4304?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4303,Senate,S,"A bill to amend the Federal Food, Drug, and Cosmetic Act to ensure the safety of food and limit the presence of contaminants in infant and toddler food, and for other purposes.",S,2024-05-10,2024-05-10T10:56:34Z,https://api.congress.gov/v3/bill/118/s/4303?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4302,Senate,S,"A bill to provide that individuals convicted of certain crimes relating to institutions of higher education are ineligible for Federal student financial assistance under title IV of the Higher Education Act of 1965, and for other purposes.",S,2024-05-10,2024-05-10T10:56:34Z,https://api.congress.gov/v3/bill/118/s/4302?format=json
118,2024-05-09,,Referred to the Committee on the Judiciary. (text: CR S3659),680,Senate,S,"A resolution condemning the violent, anti-American and anti-Israel protests that are occurring on campuses of institutions of higher education nationwide.",SRES,2024-05-10,2024-05-10T13:11:48Z,https://api.congress.gov/v3/bill/118/sres/680?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4300,Senate,S,"A bill to require the Secretary of Labor to maintain a publicly available list of all employers that relocate a call center or contract call center work overseas, to make such companies ineligible for Federal grants or guaranteed loans, and to require disclosure of the physical location of business agents engaging in customer service communications, and for other purposes.",S,2024-05-10,2024-05-10T10:56:35Z,https://api.congress.gov/v3/bill/118/s/4300?format=json
118,2024-05-09,,Placed on Senate Legislative Calendar under General Orders. Calendar No. 382.,1835,Senate,S,National Cybersecurity Awareness Act,S,2024-05-10,2024-05-10T16:37:39Z,https://api.congress.gov/v3/bill/118/s/1835?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4299,Senate,S,"A bill to require the Secretary of Transportation to issue a rule relating to the collection of crashworthiness information under the New Car Assessment Program of the National Highway Traffic Safety Administration, and for other purposes.",S,2024-05-10,2024-05-10T10:56:35Z,https://api.congress.gov/v3/bill/118/s/4299?format=json
118,2024-05-09,,Placed on Senate Legislative Calendar under General Orders. Calendar No. 381.,1560,Senate,S,Rural Hospital Cybersecurity Enhancement Act,S,2024-05-10,2024-05-10T16:36:35Z,https://api.congress.gov/v3/bill/118/s/1560?format=json
